ranker,player,position,team,age_at_season_start,age_category,club,birth_year,minutes,minutes_90s,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,fouls_per90,interceptions_per90,tackles_won_per90,pens_won_per90,ball_recoveries_per90,aerials_won_per90,passes_completed_per90,passes_per90,passes_pct,passes_progressive_distance_per90,pass_xa_per90,assisted_shots_per90,crosses_into_penalty_area_per90,progressive_passes_per_90,blocks_per90,clearances_per90,touches_per90,dribbles_completed_per90,dribbles_completed_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,npxg_per_shot
1,Aaron Mooy,MF,Australia,32,Confirmed,Celtic,1990,360,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,1.0,0.75,1.5,0.0,8.75,0.5,42.5,54.25,78.3,237.75,0.025,0.25,0.0,3.5,1.5,2.25,63.75,0.5,66.7,0.0,0.0,0.0,29.1,0.05
2,Aaron Ramsey,MF,Wales,31,Confirmed,Nice,1990,266,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.01,0.02,0.01,0.02,1.0,0.0,0.0,0.0,6.333333333333333,0.0,29.333333333333332,37.333333333333336,78.6,113.0,0.03333333333333333,0.3333333333333333,0.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,49.0,0.6666666666666666,25.0,0.0,0.0,0.0,18.0,0.04
3,Abdelhamid Sabiri,MF,Morocco,26,Youngster,Sampdoria,1996,181,2.0,0.0,0.5,0.5,0.0,0.5,1.0,0.08,0.53,0.6,0.08,0.6,1.0,2.5,0.5,0.0,3.5,1.0,22.5,29.0,77.6,61.0,0.05,1.5,0.0,0.0,1.5,1.5,43.0,0.0,0.0,0.0,0.0,0.0,34.2,0.04
4,Abdelkarim Hassan,DF,Qatar,29,Confirmed,Al Sadd SC,1993,270,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.01,0.11,0.1,0.11,0.3333333333333333,0.3333333333333333,1.0,0.0,3.6666666666666665,1.0,40.666666666666664,53.666666666666664,75.8,271.0,0.03333333333333333,0.3333333333333333,0.0,2.6666666666666665,1.0,1.6666666666666667,64.33333333333333,0.3333333333333333,20.0,0.0,0.0,0.0,23.6,0.05
7,Abdou Diallo,DF,Senegal,26,Youngster,RB Leipzig,1996,331,3.7,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,0.8108108108108107,0.27027027027027023,0.5405405405405405,0.0,4.594594594594595,1.8918918918918919,37.567567567567565,50.27027027027027,74.7,302.97297297297297,0.0,0.27027027027027023,0.27027027027027023,2.162162162162162,0.27027027027027023,2.7027027027027026,56.75675675675675,0.0,,0.0,0.0,0.0,15.4,0.03
9,Abdulaziz Hatem,MF,Qatar,32,Confirmed,Al Rayyan SC,1990,196,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1.8181818181818181,0.45454545454545453,0.45454545454545453,0.0,1.8181818181818181,0.45454545454545453,32.72727272727273,41.36363636363636,79.1,104.99999999999999,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.0,44.54545454545454,0.45454545454545453,100.0,100.0,0.46,0.0,27.4,0.02
10,Abdulelah Al-Amri,DF,Saudi Arabia,25,Youngster,Al-Nassr,1997,182,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.0,0.03,0.03,0.03,1.5,2.0,0.0,0.0,7.5,5.0,37.0,52.0,71.2,475.5,0.0,0.0,0.0,5.5,1.0,5.0,64.5,0.0,,0.0,0.0,0.0,10.5,0.07
15,Achraf Dari,DF,Morocco,23,Youngster,Brest,1999,187,2.1,0.48,0.0,0.48,0.48,0.48,0.6,0.3,0.0,0.3,0.3,0.3,0.9523809523809523,2.380952380952381,0.0,0.0,4.761904761904762,2.380952380952381,47.14285714285714,52.857142857142854,89.2,358.0952380952381,0.0,0.0,0.0,0.9523809523809523,3.333333333333333,4.285714285714286,66.19047619047619,0.0,,100.0,0.48,1.0,4.1,0.63
16,Achraf Hakimi,DF,Morocco,24,Youngster,Paris S-G,1998,631,7.0,0.0,0.14,0.14,0.0,0.14,0.6,0.02,0.07,0.09,0.02,0.09,0.8571428571428571,1.2857142857142858,2.4285714285714284,0.0,6.571428571428571,0.7142857142857143,44.57142857142857,54.57142857142857,81.7,256.0,0.08571428571428572,0.8571428571428571,0.7142857142857143,1.4285714285714286,1.0,1.7142857142857142,68.28571428571429,0.2857142857142857,13.3,25.0,0.14,0.0,26.5,0.03
17,Adrien Rabiot,MF,France,27,Youngster,Juventus,1995,483,5.4,0.19,0.19,0.37,0.19,0.37,1.9,0.2,0.16,0.36,0.2,0.36,1.8518518518518516,1.8518518518518516,1.6666666666666665,0.0,5.555555555555555,2.7777777777777777,43.888888888888886,52.59259259259259,83.5,155.18518518518516,0.09259259259259259,0.5555555555555555,0.0,2.4074074074074074,2.0370370370370368,1.111111111111111,64.81481481481481,0.37037037037037035,40.0,44.4,0.75,0.11,13.3,0.12
19,Ahmad Nourollahi,MF,IR Iran,29,Confirmed,Al-Ahli Dubai FC,1993,223,2.5,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.04,0.04,0.04,0.8,2.4,1.2,0.0,6.0,0.4,14.0,21.6,64.8,60.0,0.0,0.0,0.0,1.2,1.2,3.2,34.0,0.4,50.0,20.0,0.4,0.0,29.2,0.02
23,Akram Afif,FW,Qatar,26,Youngster,Al Sadd SC,1996,270,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.02,0.1,0.12,0.02,0.12,0.6666666666666666,0.0,0.0,0.0,4.666666666666667,0.3333333333333333,46.333333333333336,55.0,84.2,215.0,0.09999999999999999,1.6666666666666667,0.3333333333333333,2.3333333333333335,0.0,0.0,60.333333333333336,1.0,42.9,0.0,0.0,0.0,29.8,0.02
26,Aleksandar Mitrović,FW,Serbia,28,Confirmed,Fulham,1994,262,2.9,0.69,0.0,0.69,0.69,0.69,2.4,0.57,0.24,0.81,0.57,0.81,1.0344827586206897,0.0,0.0,0.0,2.0689655172413794,1.7241379310344829,18.620689655172413,23.79310344827586,78.3,36.55172413793104,0.034482758620689655,0.6896551724137931,0.0,0.6896551724137931,0.3448275862068966,0.3448275862068966,32.758620689655174,0.3448275862068966,100.0,30.0,1.03,0.2,14.1,0.16
27,Alex Sandro,DF,Brazil,31,Confirmed,Juventus,1991,190,2.1,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.04,0.05,0.01,0.05,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.0,7.619047619047619,1.4285714285714286,71.42857142857143,80.47619047619047,88.8,323.8095238095238,0.09523809523809523,0.47619047619047616,0.47619047619047616,5.238095238095238,0.47619047619047616,4.285714285714286,91.9047619047619,0.47619047619047616,50.0,0.0,0.0,0.0,33.5,0.03
31,Alexis Mac Allister,MF,Argentina,23,Youngster,Brighton,1998,550,6.1,0.16,0.16,0.33,0.16,0.33,1.7,0.12,0.18,0.3,0.12,0.3,0.1639344262295082,0.49180327868852464,0.6557377049180328,0.0,6.557377049180328,0.819672131147541,38.36065573770492,43.442622950819676,88.3,89.8360655737705,0.11475409836065574,1.3114754098360657,0.0,2.7868852459016393,2.1311475409836067,0.9836065573770493,54.42622950819673,0.6557377049180328,50.0,57.1,0.65,0.14,19.3,0.1
